complexity	loss	equation	score	julia_expression	lambda_format
3	14813.460601229675	p = 0.4869256956074771; a = 4.1056342321172234; vbl = 251.0247784252987	0.0	p = 0.4869256956074771; a = 4.1056342321172234; vbl = 251.0247784252987	<pysr.expression_specs.CallableJuliaExpression object at 0x000001EB4900FC50>
4	11410.572909681476	p = 0.11613185343852334; a = 315.23061030893234; vbl = log1p(#1)	0.26099589370480264	p = 0.11613185343852334; a = 315.23061030893234; vbl = log1p(#1)	<pysr.expression_specs.CallableJuliaExpression object at 0x000001EB4900F440>
5	6166.983827800274	p = 0.9753380279738204 ^ #1; a = 1.9716823209636167; vbl = 348.42195185769424	0.6153305001749649	p = 0.9753380279738204 ^ #1; a = 1.9716823209636167; vbl = 348.42195185769424	<pysr.expression_specs.CallableJuliaExpression object at 0x000001EB4900CB90>
6	1757.8462023744396	p = 1.301678940555228; a = 1.3154454076432816; vbl = square(#1) + 343.9892562738001	1.25512056262144	p = 1.301678940555228; a = 1.3154454076432816; vbl = square(#1) + 343.9892562738001	<pysr.expression_specs.CallableJuliaExpression object at 0x000001EB4900FB90>
7	1358.1789718883083	p = 1.56764166003233; a = 1.1761085681446732; vbl = (#1 * 21.75809926564704) + 265.3850567481651	0.25794449976781375	p = 1.56764166003233; a = 1.1761085681446732; vbl = (#1 * 21.75809926564704) + 265.3850567481651	<pysr.expression_specs.CallableJuliaExpression object at 0x000001EB4900CEF0>
8	1220.2512564597705	p = 1.5534445949116946; a = 1.1705928108037; vbl = square(#1 + 1.4692529906480862) + 330.0853948434075	0.10708802578089058	p = 1.5534445949116946; a = 1.1705928108037; vbl = square(#1 + 1.4692529906480862) + 330.0853948434075	<pysr.expression_specs.CallableJuliaExpression object at 0x000001EB4900D910>
10	1076.986938223669	p = 1.5527091013616872; a = 1.1788868124563359; vbl = (square(#1 + 4.94916006515863) * 0.752762809419774) + 299.70385401946567	0.062444757641983956	p = 1.5527091013616872; a = 1.1788868124563359; vbl = (square(#1 + 4.94916006515863) * 0.752762809419774) + 299.70385401946567	<pysr.expression_specs.CallableJuliaExpression object at 0x000001EB4900FC20>
11	986.1340882336278	p = 1.4600388763283796; a = 1.252629287938389 ^ log10(#1); vbl = square(#1 + 1.5092063759037806) + 329.46359117116464	0.0881302116769181	p = 1.4600388763283796; a = 1.252629287938389 ^ log10(#1); vbl = square(#1 + 1.5092063759037806) + 329.46359117116464	<pysr.expression_specs.CallableJuliaExpression object at 0x000001EB4900C5F0>
12	898.2552025467631	p = 1.486461217914397; a = #1 ^ 0.09196781605319033; vbl = (square(#1 + 4.8814315734693245) * 0.7577211422901854) + 299.8645593689062	0.09333811963356134	p = 1.486461217914397; a = #1 ^ 0.09196781605319033; vbl = (square(#1 + 4.8814315734693245) * 0.7577211422901854) + 299.8645593689062	<pysr.expression_specs.CallableJuliaExpression object at 0x000001EB4900D430>
13	898.100519297951	p = 1.486624434285052; a = 1.2364884736770905 ^ log10(#1); vbl = (square(#1 + 4.885282382985825) * 0.7574126617623796) + 299.8637141731939	0.0001722189511948126	p = 1.486624434285052; a = 1.2364884736770905 ^ log10(#1); vbl = (square(#1 + 4.885282382985825) * 0.7574126617623796) + 299.8637141731939	<pysr.expression_specs.CallableJuliaExpression object at 0x000001EB4900F470>
14	890.1389135073855	p = 1.4859738687857196; a = (#1 + 0.42629288173614166) ^ 0.09196781605319033; vbl = (square(#1 + 4.8814315734693245) * 0.7577211422901854) + 299.8645593689062	0.008904465756010484	p = 1.4859738687857196; a = (#1 + 0.42629288173614166) ^ 0.09196781605319033; vbl = (square(#1 + 4.8814315734693245) * 0.7577211422901854) + 299.8645593689062	<pysr.expression_specs.CallableJuliaExpression object at 0x000001EB4900FF50>
16	875.3607442620093	p = 1.486368942897884; a = 1.3507922578115439 ^ log1p(log10(#1)); vbl = ((square(#1 + 5.135916289497122) * 0.7678251343491517) + 304.87372956890465) * 0.9726058026039065	0.008370726294318098	p = 1.486368942897884; a = 1.3507922578115439 ^ log1p(log10(#1)); vbl = ((square(#1 + 5.135916289497122) * 0.7678251343491517) + 304.87372956890465) * 0.9726058026039065	<pysr.expression_specs.CallableJuliaExpression object at 0x000001EB4900C980>
