complexity	loss	equation	score	sympy_format	lambda_format
1	73493.72199879093	419.45631371299606	0.0	419.45631371299606	PySRFunction(X=>419.45631371299606)
3	24156.259631542067	x0 + -284.84368622105245	0.5563282215411209	x0 - 284.84368622105245	PySRFunction(X=>x0 - 284.84368622105245)
4	18501.74211954572	cube(x0) * 1.0010351798028145e-6	0.26667864823126003	1.0010351798028145e-6*x0**3	PySRFunction(X=>1.0010351798028145e-6*x0**3)
5	15903.389336158849	(x1 * -24.15979088677255) + x0	0.1513326439690458	x0 - 24.15979088677255*x1	PySRFunction(X=>x0 - 24.15979088677255*x1)
7	5839.877844668391	x0 + ((x1 / x0) * -17912.991258620783)	0.5009111863466025	x0 - 17912.991258620783*x1/x0	PySRFunction(X=>x0 - 17912.991258620783*x1/x0)
8	5389.907188309038	((log1p(x1) * -184.35845438306146) + x0) / 0.6082720535102728	0.08018171407753708	1.644001223184769*x0 - 303.08552451020655*log(x1 + 1)	PySRFunction(X=>1.644001223184769*x0 - 303.08552451020655*log(x1 + 1))
9	3543.02747421099	(((x1 * -20390.9802125861) / x0) + x0) * 1.1503412344695105	0.41954658517679233	1.1503412344695105*x0 - 23456.585349789655*x1/x0	PySRFunction(X=>1.1503412344695105*x0 - 23456.585349789655*x1/x0)
11	2509.785178847799	(x0 * sqrt(sqrt(x1))) + ((x1 * -60.19602954585018) + -173.98964558864384)	0.17239220849681414	x0*x1**(1/4) - 60.19602954585018*x1 - 173.98964558864384	PySRFunction(X=>x0*x1**(1/4) - 60.19602954585018*x1 - 173.98964558864384)
12	2349.3622857433324	(((square(x1) + 135.15839938219784) / x0) * -990.0808250880306) + (x0 * 1.1835444776713522)	0.06605323980419982	1.1835444776713522*x0 - 990.0808250880306*(x1**2 + 135.15839938219784)/x0	PySRFunction(X=>1.1835444776713522*x0 - 990.0808250880306*(x1**2 + 135.15839938219784)/x0)
13	2078.5407597999406	x0 + (x1 * ((x1 + 10.830480457643274) * (-388.2900240591582 / (x0 + -299.90431249258427))))	0.12247783384246502	x0 - 388.2900240591582*x1*(x1 + 10.830480457643274)/(x0 - 299.90431249258427)	PySRFunction(X=>x0 - 388.2900240591582*x1*(x1 + 10.830480457643274)/(x0 - 299.90431249258427))
15	1543.681541022088	(x0 * 1.3158451707044234) + ((x1 * ((-532.3113762873243 / (x0 + -312.90643654125046)) * x1)) + -292.5440430187787)	0.14874795760184678	1.3158451707044234*x0 - 532.3113762873243*x1**2/(x0 - 312.90643654125046) - 292.5440430187787	PySRFunction(X=>1.3158451707044234*x0 - 532.3113762873243*x1**2/(x0 - 312.90643654125046) - 292.5440430187787)
17	1398.9352523193356	((((106.93128571077212 ^ (215.23586579908726 / x0)) + -1.5662512031816072) * (5.784722146396231 ^ square(log10(x1)))) * -12.32365933371237) + x0	0.049229380651683675	-12.32365933371237*5.784722146396231**(log10(x1)**2)*(106.93128571077212**(215.23586579908726/x0) - 1.5662512031816072) + x0	PySRFunction(X=>-12.32365933371237*5.784722146396231**(log10(x1)**2)*(106.93128571077212**(215.23586579908726/x0) - 1.5662512031816072) + x0)
19	1306.351984733121	(((7.717088970591013 ^ square(log10(x1))) * ((127.58553379936394 ^ (247.26409627990026 / x0)) + -2.03321636520477)) * -5.463093232876058) + (x0 + -42.983798412960766)	0.034236452545339205	-5.463093232876058*7.717088970591013**(log10(x1)**2)*(127.58553379936394**(247.26409627990026/x0) - 2.03321636520477) + x0 - 42.983798412960766	PySRFunction(X=>-5.463093232876058*7.717088970591013**(log10(x1)**2)*(127.58553379936394**(247.26409627990026/x0) - 2.03321636520477) + x0 - 42.983798412960766)
